,ReportDataID,TermID,TermYear,TernDay,NormID,NormGroupID,NormName,UnitCode,NormTypeID,FromSource,NormValue,ReportTime
96,72050,1,2023,2023-07-21 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,22/07/2023
97,72049,1,2023,2023-07-21 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23734.0,22/07/2023
98,72037,1,2023,2023-07-20 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,21/07/2023
99,72036,1,2023,2023-07-20 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23734.0,21/07/2023
100,72024,1,2023,2023-07-19 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,20/07/2023
101,72023,1,2023,2023-07-19 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23731.0,20/07/2023
102,72019,1,2023,2023-07-18 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,19/07/2023
103,72018,1,2023,2023-07-18 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23704.0,19/07/2023
104,72006,1,2023,2023-07-17 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,18/07/2023
105,72005,1,2023,2023-07-17 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23714.0,18/07/2023
106,71993,1,2023,2023-07-16 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,17/07/2023
107,71992,1,2023,2023-07-16 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23701.0,17/07/2023
108,71988,1,2023,2023-07-14 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,15/07/2023
109,71987,1,2023,2023-07-14 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23720.0,15/07/2023
110,71975,1,2023,2023-07-13 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,14/07/2023
111,71974,1,2023,2023-07-13 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23720.0,14/07/2023
112,71962,1,2023,2023-07-12 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,13/07/2023
113,71961,1,2023,2023-07-12 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23758.0,13/07/2023
114,71949,1,2023,2023-07-11 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,12/07/2023
115,71948,1,2023,2023-07-11 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23772.0,12/07/2023
116,71936,1,2023,2023-07-10 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,11/07/2023
117,71935,1,2023,2023-07-10 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23787.0,11/07/2023
118,71923,1,2023,2023-07-09 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,10/07/2023
119,71922,1,2023,2023-07-09 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23810.0,10/07/2023
120,71910,1,2023,2023-07-06 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,07/07/2023
121,71909,1,2023,2023-07-06 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23833.0,07/07/2023
122,71897,1,2023,2023-07-04 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,05/07/2023
123,71896,1,2023,2023-07-04 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23813.0,05/07/2023
124,71884,1,2023,2023-07-02 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,03/07/2023
125,71883,1,2023,2023-07-02 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23805.0,03/07/2023
126,71879,1,2023,2023-06-30 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,01/07/2023
127,71878,1,2023,2023-06-30 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23800.0,01/07/2023
