,ReportDataID,TermID,TermYear,TernDay,NormID,GroupName,NormGroupID,NormName,UnitCode,CssStyle,NormTypeID,FromSource,NormValue,ReportTime
189,68497,10,2022,2022-09-28 17:00:00,400,,0,Beverage and cigarette,%,Padding2,52,Tổng cục thống kê,0.13,Sep-2022
190,68492,10,2022,2022-09-28 17:00:00,399,,0,Eating outside,%,Padding3,52,Tổng cục thống kê,0.32,Sep-2022
191,68491,10,2022,2022-09-28 17:00:00,398,,0,Foodstuff,%,Padding3,52,Tổng cục thống kê,0.16,Sep-2022
192,68490,10,2022,2022-09-28 17:00:00,397,,0,Food,%,Padding3,52,Tổng cục thống kê,-0.08,Sep-2022
193,68489,10,2022,2022-09-28 17:00:00,396,,0,Food and foodstuff,%,Padding2,52,Tổng cục thống kê,0.18,Sep-2022
194,68487,10,2022,2022-09-28 17:00:00,395,,0,Consumer Price Index,%,Padding1,52,Tổng cục thống kê,0.4,Sep-2022
195,68150,9,2022,2022-08-28 17:00:00,409,,0,Other goods and services ,%,Padding2,52,Tổng cục thống kê,0.2,Aug-2022
196,68149,9,2022,2022-08-28 17:00:00,408,,0,"Culture, entertainment and tourism",%,Padding2,52,Tổng cục thống kê,0.43,Aug-2022
197,68148,9,2022,2022-08-28 17:00:00,407,,0,Education,%,Padding2,52,Tổng cục thống kê,1.46,Aug-2022
198,68147,9,2022,2022-08-28 17:00:00,406,,0,Postal services and Telecommunication,%,Padding2,52,Tổng cục thống kê,-0.01,Aug-2022
199,68156,9,2022,2022-08-28 17:00:00,405,,0,Traffic,%,Padding2,52,Tổng cục thống kê,-5.51,Aug-2022
200,68155,9,2022,2022-08-28 17:00:00,404,,0,Medicine and health care,%,Padding2,52,Tổng cục thống kê,0.09,Aug-2022
201,68154,9,2022,2022-08-28 17:00:00,403,,0,Household appliances and goods,%,Padding2,52,Tổng cục thống kê,0.21,Aug-2022
